,BRAND,PRODUCT_NAME,PRICE,RETURN/EXCHANGE,EXPECTED_DELIVERY,AVAILABILITY,PRODUCT_LINK
0,Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","₹8,999.00",7 Days Replacement,"Friday, 30 September",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjQwMjQ5NjU4NzkwNDkxOjE2NjQwNDIxOTU6c3BfYXRmOjIwMDc5NTg1MDE4NTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dguitar%26qid%3D1664042195%26sr%3D8-1-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD
1,KREEPO,KREEPO Guitar Fretboard Stickers Beginner Learner Fingerboard Frets Map Sticker for All 6 Strings Electric-Acoustic Guitars Sticker Multicolor(9.1cm X 14.5cm),₹299.00,7 Days Replacement,-,In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjQwMjQ5NjU4NzkwNDkxOjE2NjQwNDIxOTU6c3BfYXRmOjIwMDc5NjkzNDk2MDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FKREEPO-Fretboard-Fingerboard-Electric-Acoustic-Multicolor%2Fdp%2FB09DWZQC29%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dguitar%26qid%3D1664042195%26sr%3D8-2-spons%26psc%3D1
2,KREEPO,KREEPO Guitar Fretboard Sticker Fingerboard Embossed Carved Decals Stickers (Trapezium Design) With Brown Color(5cm X 17cm),₹299.00,7 Days Replacement,-,In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjQwMjQ5NjU4NzkwNDkxOjE2NjQwNDIxOTU6c3BfYXRmOjIwMDc5NjkzNDk1OTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FKREEPO-Fretboard-Fingerboard-Embossed-Trapezium%2Fdp%2FB09DWZS1JZ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dguitar%26qid%3D1664042195%26sr%3D8-3-spons%26psc%3D1
3,JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","₹1,774.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_4?keywords=guitar&qid=1664042195&sr=8-4
4,Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","₹1,799.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_5?keywords=guitar&qid=1664042195&sr=8-5
5,Intern,Intern 38C Ebony Wood Cutaway Design Acoustic Guitar with Picks And Carry Bag (Black),"₹1,699.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Intern-38-inch-Cutaway-Design-Acoustic/dp/B07X4PN85R/ref=sr_1_6?keywords=guitar&qid=1664042195&sr=8-6
6,Fender,Fender CD 60 Dread V3 DS 6 String Acoustic Guitar - Walnut Fretboard-Black,"₹12,499.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM4B5LJ/ref=sxin_14?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5ddd0a98-0444-4cd7-ad42-d5b6aca160cf%3Aamzn1.sym.5ddd0a98-0444-4cd7-ad42-d5b6aca160cf&creativeASIN=B07RM4B5LJ&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-all-asins&keywords=guitar&linkCode=oas&pd_rd_i=B07RM4B5LJ&pd_rd_r=e3744c1b-d48e-4ed8-b335-873f6d9ed238&pd_rd_w=6kEHM&pd_rd_wg=0qVMI&pf_rd_p=5ddd0a98-0444-4cd7-ad42-d5b6aca160cf&pf_rd_r=3DQ6AHEBTSJMBB0A14ZC&qid=1664042195&sr=1-1-887d48f0-d798-4604-a3e5-14d9d204cf06&tag=sm-content-21
7,YAMAHA,"Yamaha FS100C Acoustic Guitar, Natural","₹9,490.00",7 Days Replacement,"Saturday, 1 October",In stock.,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sxin_14?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5ddd0a98-0444-4cd7-ad42-d5b6aca160cf%3Aamzn1.sym.5ddd0a98-0444-4cd7-ad42-d5b6aca160cf&creativeASIN=B00QKD79QE&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-all-asins&keywords=guitar&linkCode=oas&pd_rd_i=B00QKD79QE&pd_rd_r=e3744c1b-d48e-4ed8-b335-873f6d9ed238&pd_rd_w=6kEHM&pd_rd_wg=0qVMI&pf_rd_p=5ddd0a98-0444-4cd7-ad42-d5b6aca160cf&pf_rd_r=3DQ6AHEBTSJMBB0A14ZC&qid=1664042195&sr=1-2-887d48f0-d798-4604-a3e5-14d9d204cf06&tag=sm-content-21
8,HOVNER,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","₹4,256.00",7 Days Replacement,"Wednesday, 5 October",In stock.,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sxin_14?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5ddd0a98-0444-4cd7-ad42-d5b6aca160cf%3Aamzn1.sym.5ddd0a98-0444-4cd7-ad42-d5b6aca160cf&creativeASIN=B07KLG8C4P&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-all-asins&keywords=guitar&linkCode=oas&pd_rd_i=B07KLG8C4P&pd_rd_r=e3744c1b-d48e-4ed8-b335-873f6d9ed238&pd_rd_w=6kEHM&pd_rd_wg=0qVMI&pf_rd_p=5ddd0a98-0444-4cd7-ad42-d5b6aca160cf&pf_rd_r=3DQ6AHEBTSJMBB0A14ZC&qid=1664042195&sr=1-3-887d48f0-d798-4604-a3e5-14d9d204cf06&tag=sm-content-21
9,Kadence,"Kadence Guitar Acoustica Series, 41” Jumbo Size 6-strings Acoustic Guitar, Spruce body with Pick Guard A311 with bag","₹6,499.00",7 Days Replacement,"Friday, 30 September",In stock.,https://www.amazon.in/Kadence-6-strings-Acoustic-Guitar-Natural/dp/B07JKYWGJN/ref=sxin_14?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5ddd0a98-0444-4cd7-ad42-d5b6aca160cf%3Aamzn1.sym.5ddd0a98-0444-4cd7-ad42-d5b6aca160cf&creativeASIN=B07JKYWGJN&cv_ct_cx=guitar&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-all-asins&keywords=guitar&linkCode=oas&pd_rd_i=B07JKYWGJN&pd_rd_r=e3744c1b-d48e-4ed8-b335-873f6d9ed238&pd_rd_w=6kEHM&pd_rd_wg=0qVMI&pf_rd_p=5ddd0a98-0444-4cd7-ad42-d5b6aca160cf&pf_rd_r=3DQ6AHEBTSJMBB0A14ZC&qid=1664042195&sr=1-4-887d48f0-d798-4604-a3e5-14d9d204cf06&tag=sm-content-21
